岗位名称,工作地址,学历要求,工作经验,工作标签,企业名称,企业规模,企业福利,实习生,最低薪资,最高薪资
WEB前端开发工程师,长沙,本科,1-3年,"Node.js,前端开发经验,计算机,软件工程相关专业",携云启源,20-99人,"节日福利,带薪年假,五险一金,定期体检,年终奖,员工旅游,零食下午茶",0,9000,14000
软件测试工程师,长沙,大专,1-3年,"性能测试,渗透测试,压力测试,TestNG,LoadRunner",易景通,20-99人,"全勤奖,餐补,节日福利,员工旅游,五险一金",0,4000,6000
数字马力-高级JAVA开发工程师-长沙,长沙,本科,3-5年,"后端工程师,Java,MySQL,Spring",蚂蚁集团,10000人以上,"餐补,交通补助,定期体检,全勤奖,包吃,五险一金,年终奖,零食下午茶,免费班车,住房补贴,加班补助,节日福利,股票期权,员工旅游,带薪年假,通讯补贴,13薪",0,10000,15000
C++开发工程师,长沙,大专,3-5年,C++,众微物联,20-99人,"生日福利,五险一金,零食下午茶,意外险,员工旅游,团建聚餐",0,11000,18000
C++开发工程师/QT开发,长沙,本科,5-10年,"C,C++,QT,MFC,MySQL,Linux开发,部署经验",咕泡科技,100-499人,"团建聚餐,年终奖,餐补,定期体检,五险一金,员工旅游,通讯补贴,股票期权,绩效奖金,五险一金,节日福利,意外险,零食下午茶,带薪年假,底薪加提成",0,10000,15000
前端开发工程师,长沙,本科,3-5年,"asp.net core,webapi,Redis",名师汇,20-99人,"员工旅游,零食下午茶,底薪加提成,团建聚餐,保底工资,通讯补贴,带薪年假,五险一金,绩效奖金,节日福利,定期体检",0,8000,13000
中级测试工程师,长沙,大专,1-3年,"功能测试,自动化测试",湖南标普,20-99人,"年终奖,带薪年假,交通补助,零食下午茶,餐补,节日福利,股票期权,通讯补贴,员工旅游,五险",0,8000,10000
JAVA工程师,长沙,本科,经验不限,"Java,SpringCloud,Redis",谨远体育,0-20人,无,0,7000,9000
小程序+PHP开发工程师,长沙,大专,3-5年,"PHP,PHP开发经验,计算机相关专业",湖南共享通,20-99人,"全勤奖,年终奖,节日福利,零食下午茶,五险一金",0,7000,12000
PHP,长沙,本科,3-5年,"高级软件工程师,小程序,Linux,小程序开发,ThinkPHP",湖南维本网络科技,20-99人,"带薪年假,有无线网,全勤奖,团建聚餐,节日福利,五险一金,员工旅游,生日福利,餐补,交通补助,零食下午茶",0,8000,10000
前端开发工程师,长沙,本科,3-5年,"HTML,HTML5,CSS3,WebSocket,Javascript,CSS",长沙翔创科技有限公司,20-99人,"年终奖,绩效奖金,加班补助,零食下午茶,五险一金,节假日加班费,团建聚餐",0,12000,18000
测试工程师,长沙,本科,1-3年,"功能测试,自动化测试,性能测试",逸久信息,20-99人,"年终奖,节日福利,股票期权,带薪年假,定期体检,五险一金,13薪",0,5000,8000
微信小程序第三方平台开发程序员,长沙,本科,1-3年,"后端,前端,Node.js,JavaScript,TypeScript",末羿软件,0-20人,"全勤奖,生日福利,保底工资,节假日加班费,工龄奖,五险一金",0,7000,9000
JAVA,长沙,本科,3-5年,"后端工程师,Java,Spring,MySQL",蚂蚁集团,10000人以上,"五险一金,定期体检,带薪年假,全勤奖,年终奖,股票期权,零食下午茶,员工旅游,住房补贴,餐补,节日福利,通讯补贴,包吃,交通补助,加班补助,免费班车,13薪",0,12000,24000
PHP开发工程师,长沙,大专,1-3年,"PHP,计算机相关专业,PHP开发经验,架构设计经验",三宜租机,20-99人,"无,13薪",0,6000,8000
JAVA开发,长沙,大专,3-5年,"Java,Spring,MySQL",郑州市宽昀企业管...,20-99人,"绩效奖金,有无线网,节日福利,全勤奖,底薪加提成,带薪年假,五险一金",0,10000,14000
PHP开发工程师,长沙,大专,1-3年,"PHP,计算机相关专业,PHP开发经验",长沙享瑞租赁,0-20人,"带薪年假,全勤奖,生日福利,零食下午茶,年终奖",0,6000,8000
JAVA开发,长沙,本科,5-10年,"Java,SpringCloud,Redis,MySQL,Oracle",ITL,100-499人,无,0,9000,13000
测试工程师,长沙,本科,1-3年,"功能测试,性能测试,自动化测试,Python,php",宜选科技,500-999人,"交通补助,节日福利,餐补,带薪年假,五险一金",0,8000,12000
高级前端开发,长沙,大专,5-10年,"CSS,Vue,Node.js,前端开发经验,架构师经验",口袋奇迹,0-20人,"年终奖,五险一金",0,10000,15000
长沙-软件开发工程师,长沙,本科,在校/应届,"Java,Spring,MyBatis,Oracle,SpringMVC",金智教育,1000-9999人,"五险一金,交通补助,通讯补贴,年终奖,节日福利,零食下午茶,补充医疗保险,免费班车,定期体检,餐补,带薪年假",0,8000,12000
科研人员,长沙,本科,经验不限,"水利,计算机相关专业",神州防务,0-20人,"五险一金,带薪年假,定期体检,年终奖,通讯补贴,餐补",0,6000,11000
中级JAVA开发工程师,长沙,本科,3-5年,"Java,Spring,MySQL",捷依,20-99人,"节日福利,带薪年假,年终奖,五险一金",0,10000,15000
校招C/C++开发工程师,长沙,本科,在校/应届,"C++,C,Golang,STL,MySQL,Redis",腾讯云科技(长沙),500-999人,"零食下午茶,带薪年假,定期体检,员工旅游,五险一金,节日福利,补充医疗保险,生日福利,年终奖,14薪",0,11000,18000
.NET,长沙,本科,3-5年,"C#,ERP系统开发经验,.NET,.NET开发经验",中德安普,20-99人,"节日福利,年终奖,带薪年假,五险,餐补",0,10000,15000
微信小程序测试工程师,长沙,大专,1-3年,"功能测试,自动化测试,性能测试",梯哥哥,20-99人,"零食下午茶,年终奖,节假日加班费,生日福利,五险一金,补充医疗保险,团建聚餐,免费工装,工龄奖,底薪加提成,带薪年假,绩效奖金",0,6000,9000
WPF高级开发工程师,长沙,本科,3-5年,"C#,windows桌面开发,wpf,直播",以人智能,20-99人,"每年两次调薪,交通补助,通讯补贴,五险一金,带薪年假,补充医疗保险,股票期权,零食下午茶,员工旅游,节日福利",0,12000,20000
.NET中级开发工程师,长沙,本科,5-10年,".NET,.NET Core,C#,.NET开发经验,服务端开发经验",远舢智能,100-499人,"定期体检,五险一金,节日福利,员工旅游,通讯补贴,带薪年假,14薪",0,11000,17000
全栈工程师,长沙,大专,3-5年,"全栈侧重后端,HTML,PHP,前端开发经验,后端开发经验",迪迦,0-20人,"无,13薪",0,8000,13000
全栈开发工程师,长沙,本科,1-3年,"全栈侧重前端,Python,Django,flask",锤子网络,20-99人,"五险一金,交通补助,交通补助,带薪年假,节日福利,餐补,住房补贴,餐补,加班补助",0,8000,12000
前端开发工程师,长沙,本科,1-3年,"Vue,React,HTML5,前端开发经验",舍于网络,20-99人,"五险一金,13薪",0,7000,10000
前端开发工程师,长沙,本科,1-3年,"HTML5,JavaScript,ActionScript,Vue,Angular,React",湖南安证通,100-499人,"带薪年假,加班补助,年终奖,五险一金,餐补,员工旅游",0,10000,14000
前端开发工程师,长沙,本科,1-3年,"ECharts,不接受居家办公,前端开发经验",湖南慧明谦,20-99人,"加班补助,股票期权,节日福利,零食下午茶,五险一金,定期体检",0,7000,10000
高级JAVA开发工程师,长沙,大专,3-5年,Java,光云科技,1000-9999人,"年终奖,补充医疗保险,带薪年假,企业文化活动,五险一金,包吃,节日福利,定期体检,14薪",0,13000,22000
JAVA工程师-长沙,长沙,本科,1-3年,"计算机,软件工程相关经验,Java开发经验",领航动力,500-999人,"五险一金,定期体检,年终奖,带薪年假,员工旅游,节日福利",0,10000,15000
中级WEB前端开发工程师,长沙,大专,1-3年,"Node.js,React,JavaScript",云庭汇流,100-499人,"团建聚餐,五险一金,带薪年假,员工旅游,年终奖,全勤奖,零食下午茶,生日福利,节日福利,底薪加提成,保底工资,绩效奖金,加班补助",0,7000,12000
脚本开发,长沙,大专,经验不限,"C++,C语言,LUA 游戏 脚本开发,计算机 软件开发",湖南森林草,20-99人,无,0,5000,10000
软件开发工程师,长沙,本科,1-3年,"Java,Spring,MySQL,架构设计经验,不接受居家办公",途芮 电商,100-499人,"五险一金,餐补,员工旅游,年终奖,带薪年假,零食下午茶,交通补助,节日福利,定期体检",0,8000,12000
H5前端开发工程师,长沙,本科,3-5年,"Vue,React,CSS,计算机,软件工程相关专业,前端开发经验",长沙智引信息科技,20-99人,"生日福利,零食下午茶,全勤奖,加班补助,带薪年假,五险一金,节日福利,保底工资,团建聚餐",0,10000,15000
PYTHON高级开发工程师,长沙,本科,3-5年,"服务端开发经验,Django,全栈开发经验,MySQL,Redis",聚簇云,20-99人,"五险一金,定期体检,零食下午茶,年终奖,节日福利,员工旅游,团建聚餐,交通补助,节假日加班费,工龄奖,夜班补助,高温补贴,生日福利,带薪年假,加班补助,绩效奖金,美国游学,餐补",0,14000,20000
前端开发工程师,长沙,本科,3-5年,"Vue,HTML5,CSS",北京兴长信达,1000-9999人,"零食下午茶,餐补,五险一金,员工旅游,带薪年假,年终奖,定期体检,节日福利,全勤奖",0,10000,15000
软件测试工程师,长沙,本科,经验不限,无,仕远教育科技,0-20人,"包住,全勤奖,绩效奖金,加班补助,包吃,五险一金",0,5000,8000
高级JAVA研发工程师,长沙,本科,3-5年,"分布式技术,多线程,服务器配置,Spring,SpringBoot",湘约健康,20-99人,"通讯补贴,团建聚餐,定期体检,五险一金,绩效奖金,年终奖,餐补,意外险,底薪加提成",0,10000,15000
GO程序员,长沙,本科,5-10年,"分布式技术,架构师",星元区块链,0-20人,"员工旅游,全勤奖,五险一金,通讯补贴,年终奖,股票期权,加班补助,交通补助,住房补贴",0,10000,15000
.NET高级软件工程师,长沙,大专,3-5年,.NET,上海星汉,20-99人,"带薪年假,年终奖,节日福利,五险一金",0,6000,10000
JAVA,长沙,本科,1-3年,"Java,Javascript,HTML,CSS",湖南纬度科技,20-99人,"五险一金,全勤奖,13薪",0,6000,10000
中级JAVA开发工程师,长沙,大专,3-5年,"Java,SpringCloud,Spring,MyBatis,MySQL",上海瀚若轩公司,20-99人,"年终奖,五险一金",0,9000,14000
资深PHP开发工程师,长沙,本科,3-5年,"PHP,Laravel,Yii,ThinkPHP,MySQL,Redis,MongoDB",海南乐读,100-499人,"零食下午茶,带薪年假,五险一金,工龄奖,年终奖,底薪加提成,全勤奖,法定节假日三薪,节日福利,意外险,13薪",0,12000,18000
大前端技术支持,长沙,大专,1-3年,"JavaScript,HTML5,技术支持,大前端",保利威,100-499人,"员工旅游,带薪年假,全勤奖,绩效奖金,餐补,有无线网,住房补贴,加班补助,零食下午茶,节日福利,生日福利,育儿假,交通补助,年终奖,定期体检,五险一金,免费工装,培训体系,13薪",0,9000,14000
全栈工程师,长沙,本科,1-3年,"全栈无侧重,全栈项目经验",未来盒子,0-20人,五险一金,0,10000,15000
前端开发工程师,长沙,大专,1-3年,"JavaScript,Vue,Java,计算机,软件工程相关专业",壹拾捌号,20-99人,"全勤奖,带薪年假,节日福利,加班补助,餐补,零食下午茶",0,5000,8000
高级JAVA开发工程师,长沙,本科,5-10年,Java,云畅科技,100-499人,"补充医疗保险,意外险,餐补,股票期权,五险一金,节日福利,员工旅游,交通补助,年终奖,零食下午茶,带薪年假",0,12000,18000
JAVA开发工程师,长沙,本科,3-5年,"后端工程师,Java,Spring,Redis,计算机,软件工程相关经验",天创信用,100-499人,"团建聚餐,员工旅游,年终奖,五险一金,加班补助,定期体检,带薪年假,有无线网,节日福利,补充医疗保险,意外险,生日福利,14薪",0,14000,24000
JAVA开发工程师,长沙,本科,3-5年,"后端工程师,Java,Spring,JavaScript,算法基础,Eclipse",国宽智云,0-20人,"无,14薪",0,8000,12000
高级前端开发,长沙,本科,5-10年,"前端架构,组件开发,低代码开发平台,前端开发经验",天河道云,100-499人,"底薪加提成,团建聚餐,定期体检,员工旅游,带薪年假,节日福利,餐补,零食下午茶,意外险,五险一金,补充医疗保险,年终奖",0,14000,20000
湖南众致时代文化传媒招聘服务员,长沙,中专/中技,经验不限,"全职,暑期工,单人间",湖南众致时代文化传媒,100-499人,"零食下午茶,加班补助,法定节假日三薪,住房补贴,带薪年假,全勤奖,底薪加提成,团建聚餐,五险一金,包住,夜班补助,交通补助",0,5000,6000
WEB前端,长沙,大专,3-5年,"HTML5,CSS,React,计算机,软件工程相关专业",瑞友科技,1000-9999人,"定期体检,五险一金,节日福利,带薪年假",0,10000,11000
全栈工程师,长沙,本科,3-5年,"JavaScript,CSS,Vue,PHP,全栈项目经验,前端开发经验",方田科技,0-20人,"餐补,五险一金,员工旅游,包吃,股票期权,带薪年假",0,10000,15000
后端开发工程师,长沙,本科,3-5年,"Java,Spring,MyBatis",湖南信工博特智能科技,20-99人,"五险一金,绩效奖金,保底工资,底薪加提成",0,10000,15000
PHP高级开发工程师,长沙,大专,3-5年,"PHP,PHP开发经验,ThinkPHP,独立开发",极度信息,100-499人,"年终奖,免费工装,完整晋升机制,节假日加班费,餐补,五险,员工旅游,工龄奖,带薪年假,全勤奖,节日福利,加班补助,专业培训,零食下午茶,团建聚餐,保底工资,季度年度奖金,绩效奖金,13薪",0,10000,14000
JAVA开发工程师,长沙,本科,1-3年,"全栈工程师,Java,JavaScript,后端工程师",有志为,0-20人,"无,13薪",0,7000,12000
数字马力-JAVA开发工程师,长沙,本科,1-3年,"Java,SpringCloud,MySQL,MyBatis,Redis,Spring",蚂蚁集团,10000人以上,"年终奖,零食下午茶,员工旅游,全勤奖,免费班车,股票期权,加班补助,包吃,带薪年假,交通补助,定期体检,通讯补贴,五险一金,餐补,节日福利,住房补贴,15薪",0,10000,15000
高级软件工程师,长沙,本科,3-5年,"Java,后端开发,智能机器人",好停车,20-99人,"五险一金,带薪年假,定期体检,年终奖,员工旅游",0,7000,12000
高级JAVA开发工程师-双休,长沙,大专,5-10年,Java,安派信息技术有限公司,20-99人,"年终奖,生日福利,零食下午茶,餐补,带薪年假,团建聚餐,节日福利,加班补助,全勤奖,五险一金,13薪",0,13000,16000
JAVA高级程序员,长沙,大专,1-3年,"Java,Java开发经验",可近网络科技有限公司,0-20人,"生日福利,节日福利,年终奖,高温补贴,零食下午茶,全勤奖,带薪年假,夜班补助,五险一金,加班补助,保底工资,法定节假日三薪,交通补助,节假日加班费",0,10000,13000
GOLANG研发工程师,长沙,本科,1-3年,"Golang,中大型项目开发经验,app,C端",昆仑天工,500-999人,"年终奖,带薪年假,定期体检,团建聚餐,生日福利,五险一金",0,8000,13000
JAVA开发工程师,长沙,本科,5-10年,"Java,Spring,MyBatis,SpringCloud,MySQL",美科信息,100-499人,"带薪年假,餐补,五险一金,全勤奖",0,8000,10000
JAVA游戏服务端开发工程师,长沙,大专,5-10年,"Java,C++,JavaScript,MySQL,游戏后端经验",海南巨游网络科技,20-99人,"五险一金,绩效奖金,年终奖",0,14000,20000
PYTHON开发工程师,长沙,大专,3-5年,"Python,Django,Flask,Selenium,MySQL,Redis",掘金牛,0-20人,"绩效奖金,员工旅游,全勤奖,节日福利,五险一金,带薪年假,团建聚餐,保底工资,年终奖,加班补助,弹性上班",0,6000,10000
JAVA初级开发工程师,长沙,本科,1-3年,"后端工程师,MyBatis,Spring,Java开发经验,前端",中融汇智信息科技股份,20-99人,"补充医疗保险,包吃,加班补助,定期体检,五险,带薪年假,员工旅游,股票期权,年终奖,节日福利",0,6000,8000
高级JAVA开发工程师,长沙,本科,5-10年,无,湖南世尧,20-99人,"双休,节日福利,带薪年假,保底工资,绩效奖金,五险一金",0,10000,15000
GO/C++高级开发,长沙,本科,5-10年,"Java,C++,C,计算机相关专业",多多云科技,100-499人,"定期体检,生日礼金,带薪年假,团建聚餐,绩效奖金,五险一金,高温补贴,节日福利,14薪",0,11000,18000
PYTHON程序员,长沙,大专,3-5年,"爬虫,Python,爬虫经验,机器学习工程经验,RPA",长沙军鸽软件有限公司,20-99人,"加班补助,五险一金,全勤奖",0,6000,9000
前端开发,长沙,本科,3-5年,"ECharts,Vue,计算机,软件工程相关专业,前端开发经验",远大芯数字,20-99人,"带薪年假,五险一金,包吃,通讯补贴,团建聚餐,高温补贴,工龄奖,企业年金,宿舍有空调,定期体检,绩效奖金,低碳奖,节日福利,员工旅游,交通补助,免费班车,高龄慰问,包住,长期福利",0,8000,12000
JAVA开发工程师,长沙,本科,5-10年,"后端工程师,Spring,MyBatis,Java",巨云教育,100-499人,"带薪年假,五险一金,加班补助,交通补助",0,12000,14000
C#开发工程师,长沙,本科,1-3年,"C#,计算机相关专业,C#开发经验,.NET开发经验",泛一参数,20-99人,"五险一金,定期体检",0,12000,20000
C/C++开发,长沙,本科,1-3年,"C++,C++服务端开发经验",金生水科技,100-499人,五险一金,0,10000,15000
中级JAVA软件工程师,长沙,大专,3-5年,"不接受居家办公,Java,Spring,SpringCloud,Nginx",炜豪科技,0-20人,无,0,6000,9000
高级C/C++开发工程师,长沙,本科,经验不限,"C++,C语言,音视频相关开发经验,英语读写能力良好",享像科技,20-99人,"夜班补助,团建聚餐,加班补助,带薪年假,零食下午茶,股票期权,员工旅游,五险一金,年终奖,节日福利",0,12000,20000
中级JAVA开发工程师,长沙,大专,3-5年,"后端工程师,Java,Spring,MyBatis,Java开发经验",微萌,0-20人,"五险一金,带薪年假,绩效奖金,零食下午茶,节日福利,年终奖",0,10000,15000
JAVA高级研发工程师,长沙,本科,3-5年,"后端工程师,Spring,MyBatis,MySQL",创小毅科技,20-99人,"保底工资,五险一金,全勤奖,绩效奖金,带薪年假,工龄奖",0,9000,13000
.NET,长沙,大专,1-3年,".NET,移动开发,后端开发",中虎营销,0-20人,"补充医疗保险,员工旅游,交通补助,通讯补贴,加班补助,节日福利,全勤奖",0,5000,10000
.NET高级开发工程师,长沙,本科,5-10年,"SQL,CSS,.NET,Framework,C++,JavaScript",德谟克利特信息科技,100-499人,"无,14薪",0,12000,20000
PHP,长沙,大专,3-5年,"PHP,Laravel,Yii,ThinkPHP,MySQL,Redis,MongoDB",好车数科,0-20人,无,0,8000,12000
JAVA开发工程师,长沙,大专,3-5年,"分布式技术,消息队列,Redis,后端开发,SQL,软件工程师",浩石科技,100-499人,"无,13薪",0,8000,12000
MES开发工程师,长沙,本科,1-3年,"MES,SCADA,C#,Java,SQL",紫宸物联科技,0-20人,"员工旅游,定期体检,带薪年假,交通补助,零食下午茶,餐补,五险一金,补充医疗保险,年终奖,节日福利,13薪",0,10000,15000
测试工程师,长沙,本科,1-3年,"功能测试,Python,计算机相关专业,软件开发经验",媲美科技,0-20人,无,0,10000,11000
中高级测试工程师,长沙,本科,5-10年,"功能测试,自动化测试",雍繁数据科技,20-99人,"零食下午茶,底薪加提成,五险一金,员工旅游,餐补,带薪年假,保底工资,节日福利,加班补助,生日福利,团建聚餐",0,8000,12000
物联网工程师,长沙,本科,3-5年,".NET,C#,Python",元想科技,20-99人,"免费工装,生日福利,带薪年假,绩效奖金,团建聚餐,意外险,五险一金,员工旅游,节日福利,定期体检,13薪",0,12000,15000
测试工程师,长沙,本科,1-3年,"性能测试,功能测试,C++,Python,智能硬件,硬件测试",长沙市云牛机器人科技,20-99人,"生日福利,股票期权,团建聚餐,定期体检,员工旅游,意外险,节日福利,带薪年假,年终奖,五险一金,包吃,零食下午茶,15薪",0,9000,14000
JAVA,长沙,大专,5-10年,"SQL,分布式技术,Redis,MySQL,微服务架构,消息队列",安智科技,100-499人,"零食下午茶,带薪年假,年终奖",0,14000,20000
JAVA,长沙,本科,3-5年,"Java开发经验,Java,不接受居家办公,分布式系统开发经验",东方恩拓,20-99人,无,0,9000,14000
JAVA开发工程师,长沙,本科,3-5年,"后端工程师,Java",清华大学,1000-9999人,"定期体检,餐补,带薪年假,节日福利,包吃,加班补助",0,9000,14000
测试工程师,长沙,本科,5-10年,"自动化测试,性能测试",华盛通,500-999人,"加班补助,餐补,节日福利,带薪年假,免费班车,零食下午茶,五险一金,股票期权,定期体检,14薪",0,14000,28000
前端开发工程师,长沙,本科,3-5年,"JavaScript,Webpack,HTML5",傲晨科技,20-99人,"节日福利,团建聚餐,餐补,全勤奖,年终奖,五险一金,13薪",0,10000,12000
PHP,长沙,本科,3-5年,"PHP,PHP开发经验",湖南九嘉网络,20-99人,"保底工资,团建聚餐,绩效奖金,五险一金,零食下午茶,全勤奖,员工旅游,底薪加提成,定期体检,节日福利,13薪",0,7000,10000
JAVA后端开发工程师,长沙,大专,经验不限,"后端工程师,Java,Spring,Redis",长沙一否网络科技,0-20人,"生日福利,定期体检,五险一金,底薪加提成,五险,工龄奖,零食下午茶,交通补助,绩效奖金,节日福利,全勤奖,加班补助,年终奖",0,8000,13000
JAVA,长沙,本科,3-5年,"Java,Spring,MyBatis",南京迈珂优,100-499人,"定期体检,补充医疗保险,五险一金,节日福利,年终奖,带薪年假,全勤奖,13薪",0,10000,12000
高级全栈工程师,长沙,本科,3-5年,"全栈侧重后端,PHP,全栈项目经验",善始科技,0-20人,"员工旅游,节日福利",0,9000,12000
PHP程序员,长沙,高中,经验不限,"PHP,Laravel,Yii,ThinkPHP,JavaScript,PHP开发经验",湖南七件事,20-99人,无,0,10000,15000
PHP工程师,长沙,大专,3-5年,"Laravel,Yii,ThinkPHP,PHP开发经验,PHP",创研股份,100-499人,"法定节假日,全勤奖,员工旅游,五险一金,带薪年假,节日福利,餐补,年终奖,股票期权",0,8000,10000
C#UWP客户端开发工程师,长沙,大专,3-5年,"C#,C#开发经验,WinRT,.NET开发经验,计算机相关专业",江苏蒸汽凡星科技,20-99人,"空调,微波炉,团建聚餐,双休,弹性工作时间,有无线网,五险",0,11000,20000
JAVA工程师,长沙,本科,3-5年,"Java,Spring,计算机,软件工程相关经验,Java开发经验",创互医疗,20-99人,无,0,8000,13000
PHP,长沙,本科,1-3年,"PHP,Laravel,Yii,ThinkPHP,MySQL,Redis,MongoDB",迪文德,0-20人,无,0,3000,8000
PYTHON爬虫开发工程师7-10K,长沙,大专,1-3年,"爬虫,Python",湖南妙旅旅游服务,20-99人,"员工旅游,底薪加提成,五险一金,绩效奖金,年终奖",0,7000,10000
PYTHON开发工程师,长沙,本科,5-10年,"分布式技术,消息队列,Redis,NoSQL,MongoDB",中科边缘智慧信息科技,20-99人,"五险一金,带薪年假",0,12000,20000
系统测试工程师,长沙,本科,经验不限,"电气测试,系统集成测试,性能测试,硬件测试,功能测试",天仪研究院,100-499人,"五险一金,加班补助,定期体检,员工旅游,年终奖,节日福利,通讯补贴,餐补,零食下午茶,补充医疗保险,带薪年假,13薪",0,10000,15000
高级JAVA开发工程师,长沙,本科,3-5年,"后端工程师,Java,MySQL,计算机,软件工程相关经验",焊联工业,20-99人,"交通补助,通讯补贴,员工旅游,定期体检,五险一金,带薪年假,年终奖,节日福利,餐补,13薪",0,12000,16000
JAVA工程师,长沙,本科,1-3年,"容器技术,Spring,SpringMVC,Redis,NoSQL,Linux",阿基米德,20-99人,"五险一金,加班补助,全勤奖",0,8000,10000
JAVA中级开发工程师,长沙,大专,1-3年,"Java,Spring,MySQL,ERP开发经验,MES开发经验",诺普科技,0-20人,"年终奖,带薪年假,餐补,股票期权,节日福利,五险一金",0,7000,10000
PYTHON开发工程师,长沙,大专,3-5年,"后端,数据开发,机器学习,算法工程,Python,Shell",数字鲸鱼,0-20人,无,0,8000,12000
JAVA,长沙,本科,5-10年,"Java开发经验,全栈工程师,Java,不接受居家办公",长沙一如初心信息科技,20-99人,无,0,8000,12000
JAVA开发工程师、WEB前端,长沙,本科,3-5年,"后端开发,WEB开发,全栈开发",集思谱,0-20人,"生日福利,股票期权,五险一金",0,8000,11000
JAVA,长沙,本科,3-5年,"后端开发,Java,数据采集",开腾网络科技有限公司,0-20人,无,0,6000,9000
WPF软件开发工程师,长沙,本科,3-5年,"客户端开发,.NET,多线程,网络协议,消息队列",网眼科技,20-99人,"年终奖,五险一金,零食下午茶,股票期权,13薪",0,8000,13000
软件测试工程师,长沙,本科,3-5年,"软件测试,白盒测试,Python,Java,Shell,Linux",通远股份,20-99人,"股票期权,定期体检,员工旅游,全勤奖,五险一金,通讯补贴,年终奖,带薪年假,交通补助,节日福利,零食下午茶",0,6000,8000
C++程序员,长沙,大专,3-5年,"Linux,C,C++,系统集成",极云科技,20-99人,"定期体检,加班补助,节日福利,餐补,员工旅游,带薪年假,年终奖,零食下午茶,五险",0,11000,15000
后端开发工程师,长沙,本科,3-5年,"Java,Spring,SpringCloud,MySQL,ERP开发经验",自兴人工智能,20-99人,"团建基金,全勤奖,五险,节日福利,零食下午茶,五险一金,员工旅游,带薪年假",0,9000,12000
GOLANG,长沙,大专,5-10年,Golang,亿曜科技,20-99人,"年终奖,加班补助,免费班车,员工旅游,五险一金,节日福利",0,12000,18000
后端开发工程师-长沙,长沙,本科,1-3年,"后端工程师,架构师,全栈工程师,Java,Spring",蚂蚁集团,10000人以上,"带薪年假,住房补贴,包吃,年终奖,定期体检,加班补助,通讯补贴,交通补助,全勤奖,员工旅游,免费班车,餐补,股票期权,节日福利,零食下午茶,五险一金,14薪",0,10000,15000
高级.NET开发工程师,长沙,大专,5-10年,".NET Core,C#,Java,winform,powerbuilder,abp",湖南巨龙互联信息...,20-99人,"全勤奖,带薪年假,节日福利,工龄奖,五险",0,10000,15000
PHP工程师,长沙,大专,经验不限,"PHP,Web前端,移动开发",湖南伯瑞曼科技,0-20人,"加班补助,年终奖,五险,项目分红",0,3000,8000
C,长沙,本科,1-3年,"通信,系统架构,Linux",湖南一石科技,20-99人,"通讯补贴,五险一金,餐补,交通补助",0,10000,15000
JAVA,长沙,大专,3-5年,"SQL,高级软件工程师",凯华网络,0-20人,"无,13薪",0,12000,15000
.NET开发工程师,长沙,大专,1-3年,"后端开发,.NET,ASP.NET,SQL Server",鼎太,20-99人,"带薪年假,交通补助,年终奖,五险一金,餐补,全勤奖",0,5000,6000
高精地图数据技术员,长沙,大专,经验不限,无,谱蓝科技,500-999人,"餐补,年终奖,节日福利,带薪培训,全勤奖,加班补助,生日会",0,2000,7000
HRBP,长沙,本科,5-10年,"HRBP经验,百人团队BP经验,业务部门,互联网行业",绝味,10000人以上,无,0,10000,13000
实习工程师,长沙,大专,经验不限,"Java,Spring,Spring Boot,MyBatis",湖南康展互联网,100-499人,"绩效奖金,员工旅游,年终奖,节日福利,全勤奖,保底工资,底薪加提成,意外险,带薪年假,定期体检",0,3000,8000
电力设备运维工程师,长沙,大专,3-5年,"实施交付运维,电子,电气,自动化相关专业,运维经验",四川亿唐科技有限公司,0-20人,"无,14薪",0,5000,6000
运维工程师,长沙,大专,1-3年,"计算机相关专业,运维经验",拓维信息,1000-9999人,"年终奖,节日福利,通讯补贴,带薪年假,定期体检,五险一金,员工旅游,13薪",0,4000,6000
.NET研发工程师,长沙,大专,3-5年,".NET,C#,HTML,CSS",石基信息,1000-9999人,"带薪年假,年终奖,定期体检,员工旅游,法定节假日三薪,节假日加班费,五险一金,加班补助,通讯补贴",0,9000,11000
JAVA,长沙,大专,3-5年,"后端开发,Java",宝库在线,100-499人,"五险一金,加班补助,带薪年假,餐补,员工旅游,住房补贴,交通补助",0,12000,18000
2022届校招实习-阿里巴巴新零售测试开发岗,长沙,本科,经验不限,自动化测试,阿里巴巴集团,10000人以上,"节日福利,补充医疗保险,免费班车,股票期权,员工旅游,交通补助,餐补,年终奖,零食下午茶,五险一金,13薪",0,13000,15000
JAVA开发工程师,长沙,本科,1-3年,"分布式技术,Spring,Redis,MySQL",长沙网和文化传播...,20-99人,"无,15薪",0,8000,12000
二类电商信息流优化师,长沙,大专,1年以内,"cid投放,二类电商信息流优化师,电商投放,抖音投放",咫尺信息,20-99人,"五险一金,团建聚餐,员工旅游,底薪加提成,加班补助,带薪年假,绩效奖金,法定节假日三薪,餐补,零食下午茶,年终奖,节日福利,全勤奖",0,6000,10000
游戏市场负责人,长沙,大专,3-5年,"销售岗,游戏推广,渠道分发,互联网,科技,营销策划能力",天宇互动,20-99人,无,0,6000,10000
PHP开发,长沙,大专,1-3年,PHP,湖南比诺牛,20-99人,"员工旅游,包吃,全勤奖,年终奖,五险一金",0,7000,10000
JAVA,长沙,本科,1-3年,"JS,Javascript,系统架构",猫窝科技,20-99人,无,0,5000,10000
